Model,Size (GiB),Params (B),Threads,Test,Speed (t/s),Error (t/s)
openelm 3B Q4_0,1.62,3.04,1,pp12,27.33,0.06
openelm 3B Q4_0,1.62,3.04,1,tg6,10.23,0.01
openelm 3B Q4_0,1.62,3.04,2,pp12,47.95,0.23
openelm 3B Q4_0,1.62,3.04,2,tg6,18.24,0.01
openelm 3B Q4_0,1.62,3.04,3,pp12,68.97,0.03
openelm 3B Q4_0,1.62,3.04,3,tg6,25.99,0.01
openelm 3B Q4_0,1.62,3.04,4,pp12,88.43,0.41
openelm 3B Q4_0,1.62,3.04,4,tg6,33.18,0.02
